tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,3.106355667114258,-0.2679674148559569,0.1917510479688644,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.9325485229492188,-0.4131643295288086,0.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.933621406555176,-0.4403440475463867,0.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.937197685241699,-0.4299728393554688,0.0,14.25,0.0,3.020524978637696,-0.3495065689086913,0.0,22.25,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.93576717376709,-0.4718152999877929,0.0,14.5,0.0,3.0133724212646484,-0.3659574508666992,0.0,22.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.9218196868896484,-0.5125848770141601,0.0,14.0,0.0,3.0094385147094727,-0.3870574951171875,0.0,21.25,0.0,3.05020809173584,-0.3151742935180663,0.0,22.0,,,,,,,,,,,,,,,
